MaddeID,SiraNo,Bolum,StandartGrubu,KaynakTuru,StandartMaddeNo,KontrolBasligi,DenetciYonlendirmesi,YontemKodu,DogrulamaYontemi,HazirSecenekler,Olcu1Adi,Olcu1Birimi,Olcu2Adi,Olcu2Birimi,TahrikKosulu,MDKosulu,EsikDeger,EsikOperator,Aktif,AranmazKosulu,GorselReferansi,OlcumTanimlariJSON,OtomatikAranmazKuraliJSON,ResmiMaddeMetni,KaynakFormKodu,KaynakFormRevizyonu,KaynakFormTabloNo,KaynakFormSatirNo,DenetimProfilleriJSON,KaynakFormBolumu,KaynakFormAltGrubu
MAD-0197,197,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.5.3.2,Durak kapısı etek sacının ölçüleri ve geometrisi,"Durak kapısı etek sacı (kilit açma bölgesinin en az yarısı+5cm uzunluk, giriş genişliği+en az 2,5cm her taraftan genişlik, en az 60° açı yapan sert pah, pahın izdüşümü en az 2cm)","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçü 1,cm,Ölçü 2,cm,null,null,2.5,>=,true,null,null,[],null,"Durak kapısı etek sacı (kilit açma bölgesinin en az yarısı+5cm uzunluk, giriş genişliği+en az 2,5cm her taraftan genişlik, en az 60° açı yapan sert pah, pahın izdüşümü en az 2cm)",ÜB.FR.38,R.04,11,158,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0198,198,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.5.3.2,Durak kapısı giriş yüzeyinin mekanik dayanımı,"Bu yüzey metal levha gibi düzgün/sert malzemeden olmalı ve herhangi bir noktasında dikey olarak 5 cm²’lik yuvarlak/kare bir alana 300 N uygulandığında, kalıcı bir şekil değişikliği ve 15mm’den fazla elastik şekil değişikliği olmaksızın dayanabilmeli","A,C",Görsel + Ölçüm,null,Ölçü 1,N,Ölçü 2,mm,null,null,null,null,true,null,null,[],null,"Bu yüzey metal levha gibi düzgün/sert malzemeden olmalı ve herhangi bir noktasında dikey olarak 5 cm²’lik yuvarlak/kare bir alana 300 N uygulandığında, kalıcı bir şekil değişikliği ve 15mm’den fazla elastik şekil değişikliği olmaksızın dayanabilmeli",ÜB.FR.38,R.04,11,159,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0199,199,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.5.3.2,Durak kapısı giriş yüzeyindeki çıkıntı ve pahlar,"Çıkıntı varsa, 5mm'yi aşmamalı, 2mm’yi aşan çıkıntılar en az 75°’lik bir açıyla pahlanmalı","A,C",Görsel + Ölçüm,null,Ölçü 1,mm,Ölçü 2,mm,null,null,null,null,true,null,null,[],null,"Çıkıntı varsa, 5mm'yi aşmamalı, 2mm’yi aşan çıkıntılar en az 75°’lik bir açıyla pahlanmalı",ÜB.FR.38,R.04,11,160,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0200,200,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.5.1.1 - 5.2.5.1.2,Karşı ağırlık veya dengeleme ağırlığının kuyu içindeki konumu,Karşı ağırlık veya dengeleme ağırlığı kullanılmışsa bunun kabinle aynı kuyu içinde bulunduğunu doğrulayın. Bu bileşen yoksa maddeyi Aranmaz olarak değerlendirin.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,"Kuyuda bir veya daha fazla asansör kabini bulunabilir. Karşı ağırlık veya dengeleme ağırlığı, kabin ile aynı kuyuda bulunmalıdır.",ÜB.FR.38,R.04,11,161,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0201,201,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.1.8.1 5.2.1.8.2,Kuyu duvarlarının mekanik dayanımı,"Kuyu duvarının herhangi bir noktasına, kuyu içinden dışa veya dıştan içe doğru 300 mm × 300 mm alana eşit dağıtılmış 1000 N kuvvet uygulandığında kalıcı şekil değiştirme 1 mm, elastik şekil değiştirme 15 mm değerini aşmamalıdır. Teknik dosya ve saha durumunu birlikte doğrulayın.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçü 1,N,Ölçü 2,mm,null,null,1,<=,true,null,null,[],null,"Kuyu dayanımı (0,3x0,3)m’ye 1000N (azami 1mm kalıcı, 15mm elastik şekil bozukluğu)",ÜB.FR.38,R.04,11,162,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0202,202,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.1.1.1,Asansör donanımının kuyu ve makine alanlarında bulunması,"Tüm asansör donanımı, kuyu veya makina alanı/dairesi içerisine yerleştirilmeli","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,"Tüm asansör donanımı, kuyu veya makina alanı/dairesi içerisine yerleştirilmeli",ÜB.FR.38,R.04,11,163,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0203,203,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.1.2.1,Kuyuda asansör dışı teçhizat bulunmaması,Kuyu asansörden farklı amaç için teçhizat içermemeli (iklimlendirilmesi donanımı hariç),"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,Kuyu asansörden farklı amaç için teçhizat içermemeli (iklimlendirilmesi donanımı hariç),ÜB.FR.38,R.04,11,164,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0204,204,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,Yangın Yönetmeliği 62-1,Asansör kuyusunun yangın dayanımı,"Kuyu, yangına en az 60 dk. dayanıklı ve yanıcı olmayan malzemeden yapılmalı",A,Görsel,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Kuyu, yangına en az 60 dk. dayanıklı ve yanıcı olmayan malzemeden yapılmalı",ÜB.FR.38,R.04,11,165,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0205,205,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.2.1.4.1,"Aydınlatma elemanları, mekanik hasara karşı korunmuş olmalıdır","Aydınlatma elemanları, mekanik hasara karşı korunmuş olmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,null,MR,null,null,true,null,null,[],null,"Aydınlatma elemanları, mekanik hasara karşı korunmuş olmalıdır.",ÜB.FR.38,R.04,11,166,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0206,206,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.1.2,"Etiket, bildirim ve talimatların kalıcılığı ve dili","Tüm etiketler, bildirimler, işaretlemeler ve talimatlar kalıcı, sabitlenmiş, silinmez, okunaklı ve anlaşılır, dayanıklı malzemeden, görünür ve Türkçe yazılı olmalı,","A,E",Görsel + Talimat/İşaret,null,null,null,null,null,null,MR,null,null,true,null,null,[],null,"Tüm etiketler, bildirimler, işaretlemeler ve talimatlar kalıcı, sabitlenmiş, silinmez, okunaklı ve anlaşılır, dayanıklı malzemeden, görünür ve Türkçe yazılı olmalı,",ÜB.FR.38,R.04,11,167,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0207,207,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.4.7.6,Kabine sabitlenmiş kasnakların korunması,"Kabine sabitlenmiş kasnaklar varsa korumaya sahip olmalı (Şahıs yaralanması, halatın makaralardan çıkması, halat ve makara arasına cisimlerin girmesi)","A,C,D",Görsel + Ölçüm + Çizim/Hesap,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,"Kabine sabitlenmiş kasnaklar varsa korumaya sahip olmalı (Şahıs yaralanması, halatın makaralardan çıkması, halat ve makara arasına cisimlerin girmesi)",ÜB.FR.38,R.04,11,168,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0208,208,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.12.1.8.3,Kapı kilidi bypass fonksiyonunun güvenli çalışma şartları,"BYPAS Fonksiyonu için aşağıdaki şartlar yerine getirilmeli; - Herhangi bir otomatik ve normal çalışma kumandaları tesirsiz hale getirilmeli, - Durak kapıları ve kilitleri, kabin kapısı ve kilidinin kontakları devre dışı kalmalı, - Kabin kapısı ve durak kapılarının aynı anda kontakları devre dışı kalmalı, - Müstakil bir izleme sinyali kapalı konumda kabin kapısının bulunduğunu tespit etmeli, - Elle kullanılan durak kapılarında, kapı kontakları ve kilitleri aynı anda devre dışı kalmalı, - Kabin hareketi, sadece muayene veya acil durum müdahalesinde mümkün olmalı, - Kabinde bir ses sinyali ve kabin altında yanıp sönen ışık, hareket sırasında aktif olmalı,Bu sesli uyarının ses seviyesi, kabin altında 1 m mesafede asgari 55 dB (A) olmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçü 1,m,null,null,null,null,null,null,true,null,null,[],null,"BYPAS Fonksiyonu için aşağıdaki şartlar yerine getirilmeli; - Herhangi bir otomatik ve normal çalışma kumandaları tesirsiz hale getirilmeli, - Durak kapıları ve kilitleri, kabin kapısı ve kilidinin kontakları devre dışı kalmalı, - Kabin kapısı ve durak kapılarının aynı anda kontakları devre dışı kalmalı, - Müstakil bir izleme sinyali kapalı konumda kabin kapısının bulunduğunu tespit etmeli, - Elle kullanılan durak kapılarında, kapı kontakları ve kilitleri aynı anda devre dışı kalmalı, - Kabin hareketi, sadece muayene veya acil durum müdahalesinde mümkün olmalı, - Kabinde bir ses sinyali ve kabin altında yanıp sönen ışık, hareket sırasında aktif olmalı,Bu sesli uyarının ses seviyesi, kabin altında 1 m mesafede asgari 55 dB (A) olmalıdır.",ÜB.FR.38,R.04,11,169,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0209,209,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,Yangın Yön. M.53- (8),Yangın anında asansörün kullanmaması yönünde uyarı işareti,"Asansörün yanına, tüm duraklardan görülebilecek şekilde en az 50 mm boyutunda 'Yangın anında asansörü kullanmayınız' yasak işaretinin (EN ISO 7010 P020) yerleştirildiğini kontrol edin.","A,E",Görsel + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Yangın anında asansörün kullanmaması yönünde uyarı işareti,ÜB.FR.38,R.04,11,170,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0210,210,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.3.7.1,Durak kapısı önü aydınlatması,Durak kapıları döşeme seviyesinde aydınlatma en az 50 lüks olmalıdır.,"A,B,C,E",Görsel + Test + Ölçüm + Talimat/İşaret,null,Ölçü 1,lüks,null,null,null,null,50,>=,true,null,null,[],null,Durak kapıları döşeme seviyesinde aydınlatma en az 50 lüks olmalıdır.,ÜB.FR.38,R.04,11,171,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0211,211,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.3.2.1,"Durak kapılarının serbest yükseklikleri en az 2,0 m olmalıdır","Durak kapılarının serbest yükseklikleri en az 2,0 m olmalıdır.","C,D",Ölçüm + Çizim/Hesap,null,Ölçü 1,m,null,null,null,null,2,>=,true,null,null,[],null,"Durak kapılarının serbest yükseklikleri en az 2,0 m olmalıdır.",ÜB.FR.38,R.04,11,172,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0212,212,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,5.3.2.2,Durak kapısı girişinin kabin girişine göre genişliği,"Durak kapılarının girişi, kabin girişine ilave her taraftan 50 mm’den fazla genişletilmemelidir.","C,D",Ölçüm + Çizim/Hesap,null,Ölçü 1,mm,null,null,null,null,null,null,true,null,null,[],null,"Durak kapılarının girişi, kabin girişine ilave her taraftan 50 mm’den fazla genişletilmemelidir.",ÜB.FR.38,R.04,11,173,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0213,213,02 - Kuyu Boyunca,81-20,Standart / ÜB.FR.38,"5.3.9.3.1,2,3",Durak kapısı acil kilit açma tertibatının konumu ve erişimi,"Durak kapıları için acil durum kilit açma tertibatı (üçgen anahtar) Kilit açma üçgeninin konumu, kapı paneli veya çerçevesi üzerinde olabilir. Düşey bir düzlemdeyken, kapı paneli veya çerçevesi üzerinde, kilit açma üçgeninin konumu, sahanlığın üzerinde 2,00 m yüksekliği aşmamalıdır. Eğer kilit açma üçgeni çerçeve üzerinde ve anahtar deliği yatay düzlemde aşağı doğru ise, kilit açma üçgeninin azami yüksekliği, durak zemininden 2,70 m olmalıdır. Acil durum kilit açma anahtarının uzunluğu en az, kapı yüksekliğinden 2,0 m eksiltilerek bulunan yüksekliğe eşit olmalıdır. Acil durum kilit açma anahtarının 0,20 m'den daha uzun olduğu yerlerde bu anahtar, özel bir alet olarak değerlendirilir ve kurulum yerinde hazır bulunmalıdır.",A,Görsel,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Durak kapıları için acil durum kilit açma tertibatı (üçgen anahtar) Kilit açma üçgeninin konumu, kapı paneli veya çerçevesi üzerinde olabilir. Düşey bir düzlemdeyken, kapı paneli veya çerçevesi üzerinde, kilit açma üçgeninin konumu, sahanlığın üzerinde 2,00 m yüksekliği aşmamalıdır. Eğer kilit açma üçgeni çerçeve üzerinde ve anahtar deliği yatay düzlemde aşağı doğru ise, kilit açma üçgeninin azami yüksekliği, durak zemininden 2,70 m olmalıdır. Acil durum kilit açma anahtarının uzunluğu en az, kapı yüksekliğinden 2,0 m eksiltilerek bulunan yüksekliğe eşit olmalıdır. Acil durum kilit açma anahtarının 0,20 m'den daha uzun olduğu yerlerde bu anahtar, özel bir alet olarak değerlendirilir ve kurulum yerinde hazır bulunmalıdır.",ÜB.FR.38,R.04,11,174,"[""modul_g_tam""]",KABİN ÜSTÜ VE KUYU BOYU DEĞERLENDİRME KRİTERLERİ,Kapı ve kuyu duvarları
MAD-0214,214,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.6.1 | ZA: 1.2.3, 2.1","Kabin Kapısı, Durak Kapıları ve Katlar",Durak kapıları civarında yerel aydınlatma (En az 50 lüks),"A,C",Görsel + Ölçüm,null,lüks,null,null,null,null,null,50,>=,true,null,null,[],null,Durak kapıları civarında yerel aydınlatma (En az 50 lüks),ÜB.FR.39,R.02,12,24,"[""modul_g_tam""]",null,null
MAD-0215,215,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,Yangın Yön. M.53- (8) | ZA: 1.5.6,"Kabin Kapısı, Durak Kapıları ve Katlar",Yangın anında asansörün kullanmaması yönünde uyarı işareti,"A,E",Görsel + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Yangın anında asansörün kullanmaması yönünde uyarı işareti,ÜB.FR.39,R.02,12,25,"[""modul_g_tam""]",null,null
MAD-0216,216,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.7.3.2 Ek-I, 2.1 | ZA: 2.1","Kabin Kapısı, Durak Kapıları ve Katlar",Durak kapıları için acil durum kilit açma tertibatı (üçgen anahtar),"A,B,C",Görsel + Test + Ölçüm,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,Durak kapıları için acil durum kilit açma tertibatı (üçgen anahtar),ÜB.FR.39,R.02,12,26,"[""modul_g_tam""]",null,null
MAD-0217,217,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.7.4.1 Ek-I, 2.1 ve 2.3 | ZA: 2.1, 2.3","Kabin Kapısı, Durak Kapıları ve Katlar",Durak kapılarının kapalı olduğunun elektriksel olarak denetlenmesi,"A,B",Görsel + Test,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Durak kapılarının kapalı olduğunun elektriksel olarak denetlenmesi,ÜB.FR.39,R.02,12,27,"[""modul_g_tam""]",null,null
MAD-0218,218,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"Ek-I, 2.3 | ZA: 2.3","Kabin Kapısı, Durak Kapıları ve Katlar",Kabin kat seviyesi dışında iken durak kapılarının açılmasını önlemeli (seviyeleme hariç),"A,B",Görsel + Test,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Kabin kat seviyesi dışında iken durak kapılarının açılmasını önlemeli (seviyeleme hariç),ÜB.FR.39,R.02,12,28,"[""modul_g_tam""]",null,null
MAD-0219,219,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,7.7.3.1.7 | ZA: 2.1,"Kabin Kapısı, Durak Kapıları ve Katlar",Kapıların otomatik kapanıp kilitlenmesi (yayların sarımları birbirine değmemeli),"A,B",Görsel + Test,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Kapıların otomatik kapanıp kilitlenmesi (yayların sarımları birbirine değmemeli),ÜB.FR.39,R.02,12,29,"[""modul_g_tam""]",null,null
MAD-0220,220,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,7.6.2 | ZA: 2.1,"Kabin Kapısı, Durak Kapıları ve Katlar","Elle açılan durak kapıları kullanılmışsa kabin “katta” sinyali veya kapı penceresi; - Kalınlık en az 6 mm, mekanik dayanıklılık (temperli cam vs.) - Her durak kapısında en az 0,015 m² pencere alanı, her bir pencerede en az 0,01 m² - Pencere genişliği en az 60 mm, en fazla 150 mm - Genişlik 80 mm’den fazla ise, pencerenin alt kenarı döşemeden en az 1 m yukarıda.","A,C",Görsel + Ölçüm,null,Pencere boyutları,null,x,null,null,null,null,null,true,null,null,[],null,"Elle açılan durak kapıları kullanılmışsa kabin “katta” sinyali veya kapı penceresi; - Kalınlık en az 6 mm, mekanik dayanıklılık (temperli cam vs.) - Her durak kapısında en az 0,015 m² pencere alanı, her bir pencerede en az 0,01 m² - Pencere genişliği en az 60 mm, en fazla 150 mm - Genişlik 80 mm’den fazla ise, pencerenin alt kenarı döşemeden en az 1 m yukarıda.",ÜB.FR.39,R.02,12,30,"[""modul_g_tam""]",null,null
MAD-0221,221,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,12.12 | ZA: 4.2,"Kabin Kapısı, Durak Kapıları ve Katlar",Kabinin katta durma hassasiyeti ± 10 mm,"A,C",Görsel + Ölçüm,null,Katta Durma Mesafesi,null,null,null,null,null,null,null,true,null,null,[],null,Kabinin katta durma hassasiyeti ± 10 mm,ÜB.FR.39,R.02,12,31,"[""modul_g_tam""]",null,null
MAD-0222,222,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,7.1 | ZA: 1.2.1,"Kabin Kapısı, Durak Kapıları ve Katlar","Kapıların panelleri arasındaki açıklıklar (En fazla 6 mm, aşınma varsa en fazla 10 mm)","A,C",Görsel + Ölçüm,null,Paneller Arası Açıklık,null,null,null,null,null,6,<=,true,null,null,[],null,"Kapıların panelleri arasındaki açıklıklar (En fazla 6 mm, aşınma varsa en fazla 10 mm)",ÜB.FR.39,R.02,12,32,"[""modul_g_tam""]",null,null
MAD-0223,223,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,11.2.2 | ZA: 4.2,"Kabin Kapısı, Durak Kapıları ve Katlar",Kabin eşiği ile durak kapısı eşiği arasındaki yatay açıklık (En fazla 35 mm),"A,C",Görsel + Ölçüm,null,yatay açıklık,null,null,null,null,null,35,<=,true,null,null,[],null,Kabin eşiği ile durak kapısı eşiği arasındaki yatay açıklık (En fazla 35 mm),ÜB.FR.39,R.02,12,33,"[""modul_g_tam""]",null,null
MAD-0224,224,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,7.8 | ZA: 1.4,"Kabin Kapısı, Durak Kapıları ve Katlar",Otomatik çalışan durak kapılarının gerekli süre sonunda kapanması,"A,B",Görsel + Test,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Otomatik çalışan durak kapılarının gerekli süre sonunda kapanması,ÜB.FR.39,R.02,12,34,"[""modul_g_tam""]",null,null
MAD-0225,225,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.5.2.1.1.3 | ZA: 1.4, 2.1","Kabin Kapısı, Durak Kapıları ve Katlar",Makine gücü ile otomatik çalışan kapılarda koruma tertibatı “Basınç Kontağı / Fotosel”,"A,B",Görsel + Test,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Makine gücü ile otomatik çalışan kapılarda koruma tertibatı “Basınç Kontağı / Fotosel”,ÜB.FR.39,R.02,12,35,"[""modul_g_tam""]",null,null
MAD-0226,226,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.5.2.1.1.1 Ek-I, 4.1 | ZA: 4.1","Kabin Kapısı, Durak Kapıları ve Katlar",Otomatik çalışan kapılarda kapanmaması için gereken kuvvet (En fazla 150 N),"A,C",Görsel + Ölçüm,null,N,null,null,null,null,null,150,<=,true,null,null,[],null,Otomatik çalışan kapılarda kapanmaması için gereken kuvvet (En fazla 150 N),ÜB.FR.39,R.02,12,36,"[""modul_g_tam""]",null,null
MAD-0227,227,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.1 Ek-I, 2.1 | ZA: 2.1","Kabin Kapısı, Durak Kapıları ve Katlar",Yüzeyleri deliksiz olan durak kapıları,A,Görsel,null,null,null,null,null,null,null,null,null,true,null,null,[],null,Yüzeyleri deliksiz olan durak kapıları,ÜB.FR.39,R.02,12,37,"[""modul_g_tam""]",null,null
MAD-0228,228,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"7.2.2/Yan. Y. M.53 Ek-I, 2.3/4.2 | ZA: 2.3, 4.2","Kabin Kapısı, Durak Kapıları ve Katlar","Kapı mekanik dayanımı / yangına karşı dayanıklılık (E30 < yapı yüksekliği 51,5 m ≤ E60)","A,C,E",Görsel + Ölçüm + Talimat/İşaret,null,E,null,Yapı yüksekliği,null,null,null,null,null,true,null,null,[],null,"Kapı mekanik dayanımı / yangına karşı dayanıklılık (E30 < yapı yüksekliği 51,5 m ≤ E60)",ÜB.FR.39,R.02,12,38,"[""modul_g_tam""]",null,null
MAD-0229,229,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,7.3.1 | ZA: 2.1,"Kabin Kapısı, Durak Kapıları ve Katlar",Kabin ve durak kapılarının; (serbest yükseklik en az 2 m),"A,C",Görsel + Ölçüm,null,Yükseklik,null,null,null,null,null,2,>=,true,null,null,[],null,Kabin ve durak kapılarının; (serbest yükseklik en az 2 m),ÜB.FR.39,R.02,12,39,"[""modul_g_tam""]",null,null
MAD-0230,230,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,"5.2.2.1.2 | ZA: 1.2.1, 4.2","Kabin Kapısı, Durak Kapıları ve Katlar","Komşu durak kapıları eşikleri arasındaki yatay mesafe > 11 m ise, ara acil durum kapıları veya acil durum kapılarıyla donatılmış birbirine komşu (ardışık) kabinler olmalı.","A,C",Görsel + Ölçüm,null,Ölçülen değer,null,null,null,null,null,null,null,true,null,null,[],null,"Komşu durak kapıları eşikleri arasındaki yatay mesafe > 11 m ise, ara acil durum kapıları veya acil durum kapılarıyla donatılmış birbirine komşu (ardışık) kabinler olmalı.",ÜB.FR.39,R.02,12,40,"[""modul_g_tam""]",null,null
MAD-0231,231,02 - Kuyu Boyunca,81-1/2+A3,Standart / ÜB.FR.39,15.5.3 | ZA: 4.2,"Kabin Kapısı, Durak Kapıları ve Katlar","Yük asansörlerinde durağın yükleme alanından görülebilen, beyan yükü etiketi","A,E",Görsel + Talimat/İşaret,null,null,null,null,null,null,null,null,null,true,null,null,[],null,"Yük asansörlerinde durağın yükleme alanından görülebilen, beyan yükü etiketi",ÜB.FR.39,R.02,12,41,"[""modul_g_tam""]",null,null
